Tier,Brand,Website,Revenue/Day,Revenue/Month,Revenue/Year,Price,SKUs,Active Ads,Platform,Countries,UI/UX Score,Marketing Channels,Distribution,Founded,Positioning,Target Market,Subscription?,Weakness,Threat Level,Beatable?,Key Lesson
1-Established,WTHN,wthn.com,N/A,~$342K,~$4.1M,$45,~15,Low,Shopify,US,8/10,PR + Retail + Some Meta,Goop Nordstrom Saks + 4 NYC studios,2019,Premium wellness acupuncture brand,Women 25-45 affluent,No,Retail focused not DTC aggressive. $12.1M VC,LOW,No - different market,Retail partnerships validate the category
1-Established,EarSeeds.com,earseeds.com,N/A,N/A,"Millions sold (lifetime)",$8-60,50-80+,Low,Custom/Shopify,US,6/10,SEO + Practitioner network + Academy,Own site + wholesale + practitioners,2014,Educational/practitioner-focused FDA registered,Practitioners + consumers,No,Old brand huge SKU unfocused. Not running paid ads,LOW,No - they own SEO,Practitioner network creates moat. SEO matters long-term
1-Established,Vie Healing,viehealing.com,N/A,N/A,N/A,$44 (24K gold),~10,None visible,Shopify,US,7/10,PR + Celebrity placement,Neiman Marcus + own site,~2017,Luxury celebrity-endorsed,Women 30-50 luxury,No,"Sold Out on site. Ultra-premium limits market",NONE,No - luxury niche,Celebrity angle works for premium positioning
1-Established,Mount Lai,mountlai.com,N/A,N/A,N/A,$24,1,None for ear seeds,Shopify,US,8/10,Retail distribution,Ulta Beauty iHerb Detox Market,~2018,Beauty tools (gua sha primary),Women 20-40 beauty,No,Ear seeds are side product. 1 SKU only,NONE,N/A,Retail reach validates ear seeds in beauty category
2-UK,Acu Seeds / East Healing,acuseeds.com,N/A,~GBP 7.7K,GBP 92K (first year),GBP 25-40,21,Medium,Shopify,UK,7/10,Meta ads + Dragons Den PR + Subscription,Own site,~2022,Medical Device registered wellness,Women 25-50 UK,YES,BBC controversy. UK only. Small revenue,MEDIUM in UK,Not directly - UK focused,Dragons Den investment = credibility. Subscription model works
2-UK,AcuPips,acupips.co.uk,N/A,N/A,N/A,GBP 20-35,~10,Low,Shopify,UK,6/10,Organic + practitioner,Own site,2018,UK Original practitioner-designed,Women 30-55 UK,No,Small brand. Legal dispute with Acu Seeds,LOW,N/A,First mover in UK but didn't scale
3-DTC,NordicEase,nordicease.dk,"$7,300","$219,000","$2,700,000",DKK 399 (~$58),10-12,191,Shopify,Denmark (2),8/10,Meta ads + Trustpilot,Own site,~2024,Scandinavian wellness clean design,Women 25-55 Denmark,No,DANISH ONLY. Zero English. Geo-locked,NONE in English,CLONE for English,$58 price works. Clean branding works. 191 ads = proven
3-DTC,ShopPurriva,shoppurriva.com,"$5,661","$170,000","$2,040,000",$24.99,~1,3,Shopify,English (2),4/10,Meta ads (3 only),Own site,~2025,Budget ear seed kit,Women 25-50 English,No,TERRIBLE UI. Test store. Same operator as Trevalisse,LOW,YES - easy crush,$5.7K/day with 3 ads + 4/10 UI = massive upside with better execution
3-DTC,Ease Store,ease-store.com,N/A,N/A,N/A,$59.99,~1,3,Shopify,English (1),4/10,Meta ads (3 only),Own site,~2025,Premium single product PeacePulse,Women 25-50,No,Brand new bad UI same operator as Purriva,NONE,YES,Testing $59.99 price = market supports higher pricing
3-DTC,ThinkBodie,thinkbodie.com,N/A,N/A,N/A,N/A,Unknown,3,Likely Shopify,English (2),N/A,Meta ads (3 only),Own site,2025,Unknown,Unknown,Unknown,2 days old,NONE,YES,New entrant validates growing market interest
3-DTC,GetVespera,getvespera.com,N/A,N/A,N/A,N/A,Unknown,1,Likely Shopify,English (1),N/A,Meta ads (1 only),Own site,2025,Unknown,Unknown,Unknown,1 ad earliest stage,NONE,YES,Earliest stage validates market interest
4-Creator,byAVA,byava.co,N/A,N/A,N/A,$90-100,~5,Organic TikTok,Shopify,US/Global,7/10,TikTok organic (1.7M followers 112.6M likes),Own site + TikTok,~2024,K-beauty V-Line facial sculpting,Women 18-35 K-beauty,No,Creator-dependent. Ultra-premium $90-100,MEDIUM,Compete on price,Beauty/sculpting angle is powerful. TikTok organic works
5-Amazon,NAO Wellness,amazon.com/nao-wellness,N/A,N/A,N/A,$22-38,~5,Amazon PPC,Amazon,US,N/A,Amazon PPC + NYC studio,Amazon + own studio,~2020,NYC wellness studio brand,Amazon shoppers,No,Amazon only. #45 in Acupuncture,LOW for DTC,N/A,Amazon presence validates demand
5-Amazon,Generic sellers,amazon.com,N/A,N/A,N/A,$5-15,Hundreds,Amazon PPC,Amazon,Global,N/A,Amazon PPC,Amazon,Various,No brand cheap bulk,Price shoppers,No,No differentiation. Race to bottom,NONE,N/A,Cheap Amazon doesn't compete with branded DTC
Adjacent,MyCalmi,mycalmi.com,"$4,995","$150,000","$1,800,000",$49.90,~5,1024,Shopify,English (17),7/10,Meta ads (1024!) Global,Own site,~2023,Menopause ring/bracelet acupressure,Women 40-60 menopause,No,Narrow product line. Ring not ear seeds,STUDY,Different product,Same acupressure concept different form factor. 1024 ads = aggressive
