Rank,Product,Score,Store #,Store Name,Store URL,Rev/Day (WH Verified),Rev/Month Est,Rev/Year Est,Active Ads,Countries,Days Running,Reach,Product Price,Est Product Rev,Data Source,Threat Level,Beatable?,Gap Analysis,Source Cost,Sell Price,Margin,1688 Search Term,Startup Cost,WH Trend Volume,WH Growth
21,Mouth Tape for Sleep,12/12,1,CoreLifeNaturals,corelifenaturals.com,"$6,594","$198,000","$2,376,000",,,,,,,WH Verified,MEDIUM,YES — price + brand,"$198K/mo but generic branding. Room for premium branded mouth tape at $25-30 with better UGC + sleep authority content",$0.30-1,$19.99-29.99,95%+,闭口呼吸贴 / 睡眠封口贴 / 防打鼾闭口贴,$200-500,368K/mo,+1125%
21,Mouth Tape for Sleep,12/12,2,Hostage Tape,hostagetape.com,Not visible,Est $500K+,Est $6M+,277,9,,,"$25/pack",,WH Verified (no rev),HIGH,Hard — strong brand,"277 ads across 9 countries. Dominant brand but $25/pack is premium — room for $15-20 value play",$0.30-1,$19.99-29.99,95%+,闭口呼吸贴 / 睡眠封口贴 / 防打鼾闭口贴,$200-500,368K/mo,+1125%
22,Tallow Cream / Beef Tallow Balm,12/12,1,Sky&Sol,skyandsolbeauty.com,"$9,252","$277,560","$3,330,720",821,4,,,,,WH Verified,MEDIUM,YES — English clone,"$277K/mo with 821 ads across 4 countries. Tallow is EXPLODING. Clone their winning ads with better branding + authority content",$1-3,$29.99-39.99,90-95%,牛脂面霜 / 草饲牛油护肤膏,$300-800,8.1K/mo,+8500%
22,Tallow Cream / Beef Tallow Balm,12/12,2,Le Skin Club,leskinclub.com,"$6,468","$194,040","$2,328,480",353,14,,,,, WH Verified,MEDIUM,YES — 14 countries = proven global,"$194K/mo across 14 countries with 353 ads. Proves tallow cream works globally. Beat on product quality + grassfed sourcing story",$1-3,$29.99-39.99,90-95%,牛脂面霜 / 草饲牛油护肤膏,$300-800,8.1K/mo,+8500%
25,Organ Supplement (Beef Organ Capsules),11/12,1,Heart & Soil,heartandsoil.co,"$31,059","$931,770","$11,181,240",413,2,,,,"$50-75",,WH Verified,HIGH,Compete on price,"$932K/mo MONSTER. Paul Saladino's brand. Premium $50-75/bottle. Beat on PRICE ($40) + simpler messaging for beginners",$3-8,$39.99-54.99,85-90%,冻干牛肝胶囊 / 牛器官营养胶囊,$1-3K,1.6K/mo,+7400%
25,Organ Supplement (Beef Organ Capsules),11/12,2,Ancestral Supplements,ancestralsupplements.com,Not visible,Est $800K+,Est $10M+,309,1,,,"214.7K","$50+",,WH Verified (no rev),HIGH,Compete on price + DTC,"309 ads in 1 country only with 214.7K reach. Known $10M+/yr. Beat on PRICE + expand to more countries faster",$3-8,$39.99-54.99,85-90%,冻干牛肝胶囊 / 牛器官营养胶囊,$1-3K,1.6K/mo,+7400%
32,Perfume Dupe / Clone Fragrance Kit,10/12,1,Oakcha,oakcha.com,"$7,363","$220,890","$2,650,680",213,7,,,,,,WH Verified,MEDIUM,YES — TikTok angle,"$221K/mo with only 213 ads across 7 countries. Clean dupe positioning. Beat with better UGC + side-by-side comparison content",$3-8,$34.99-49.99,85-90%,大牌同款香水 / 平替香水礼盒,$500-1.5K,18.1K/mo,+6800%
32,Perfume Dupe / Clone Fragrance Kit,10/12,2,ALT. Fragrances,altfragrances.com,"$7,068","$212,040","$2,544,480",1037,3,,"864.3K",,,WH Verified,MEDIUM,YES — since 2018 but only 3 countries,"$212K/mo with 1037 ads but ONLY 3 countries. Running since 2018. Massive reach 864K. Beat by expanding to untapped countries",$3-8,$34.99-49.99,85-90%,大牌同款香水 / 平替香水礼盒,$500-1.5K,18.1K/mo,+6800%
32,Perfume Dupe / Clone Fragrance Kit,10/12,3,Dossier,dossier.co,Not visible,Est $1M+,Est $12M+,1049,16,,,,,,WH Verified (no rev),HIGH,Hard — VC-backed,"1049 ads across 16 countries. VC-backed. Revenue not visible but massive scale. Study their funnel — don't compete head-on",$3-8,$34.99-49.99,85-90%,大牌同款香水 / 平替香水礼盒,$500-1.5K,18.1K/mo,+6800%
32,Perfume Dupe / Clone Fragrance Kit,10/12,4,Petite Mort,petitemort.com,Not visible,Est $200K+,,377,4,,,,,,WH Verified (no rev),MEDIUM,YES — niche angle,"377 ads across 4 countries. Niche provocative branding. Beat with broader appeal + discovery kit bundles",$3-8,$34.99-49.99,85-90%,大牌同款香水 / 平替香水礼盒,$500-1.5K,18.1K/mo,+6800%
36,Travel Sleep Mask (Weighted/Heated),10/12,1,Manta Sleep,mantasleep.com,"$5,624","$168,720","$2,024,640",1450,16,,"848.3K","$35",,WH Verified,MEDIUM,YES — modular = complex,"$169K/mo with 1450 ads across 16 countries. Strong brand but modular design = complex. Beat with SIMPLE weighted silk mask at $25",$2-5,$24.99-34.99,90%+,加热遮光眼罩 / 3D立体睡眠眼罩,$300-600,2.34K/mo,+9900%
37,Height Growth Gummies,10/12,1,TruHeight,truheight.com,"$26,040","$781,200","$9,374,400",,,,,"$45",,WH Verified,HIGH,YES — controversial niche gap,"$781K/mo MASSIVE. Heavy Meta ads. Beat by targeting PARENTS (not teens directly) + add bone density angle for adults",$3-7,$34.99-44.99,85-90%,增高营养软糖 / 骨骼营养软糖,$1-2K,12.1K/mo,+5000%
37,Height Growth Gummies,10/12,2,NuBest,nubest.com,Not visible,Est $200K+,,146,19,346,"45K","$39",,WH Verified (no rev),MEDIUM,YES — 19 countries but low ads,"146 ads across 19 countries running 346 days. Global but thin ad volume. Beat with concentrated ad spend in top 5 English markets",$3-7,$34.99-44.99,85-90%,增高营养软糖 / 骨骼营养软糖,$1-2K,12.1K/mo,+5000%
46,Mushroom Coffee Blend,8/12,1,RYZE Superfoods,rfrize.com,"$6,669","$200,070","$2,400,840",429,1,,,"$36",,WH Verified,MEDIUM,YES — only 1 country,"$200K/mo with 429 ads but ONLY 1 country (US). Beat by launching in UK/AU/CA simultaneously + better taste positioning",$3-7,$29.99-39.99,85%,灵芝咖啡粉 / 蘑菇咖啡混合粉,$1-3K,200K+/mo est.,Established
